Id,Label,Colour,Tags,Title,URL,Community_Python,Degree,Betweenness,Modularity_Class_Gephi
RU2006875C1,RU2006875C1,unknown,similar-only,ГИДРОАКУСТИЧЕСКИЙ ПОДКИЛЬНЫЙ ОБТЕКАТЕЛЬ Российский патент 1994 года по МПК G01S7/52,https://patenton.ru/patent/RU2006875C1,163,0.000127,0.0,247
RU2008125C1,RU2008125C1,unknown,parsed,СПОСОБ ФОРМООБРАЗОВАНИЯ ЛОПАСТЕЙ ГРЕБНЫХ ВИНТОВ И УСТРОЙСТВО ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ Российский патент 1994 года по МПК B21K3/04,https://patenton.ru/patent/RU2008125C1,206,0.000508,1e-06,0
RU2009070C1,RU2009070C1,current,parsed,ПОДВЕСНОЙ ЛОДОЧНЫЙ МОТОР Российский патент 1994 года по МПК B63H21/26,https://patenton.ru/patent/RU2009070C1,496,0.00089,0.000246,153
RU2009071C1,RU2009071C1,current,similar-only,ТОРМОЗНОЕ УСТРОЙСТВО СУДНА Российский патент 1994 года по МПК B63H25/48,https://patenton.ru/patent/RU2009071C1,0,0.000127,0.0,1
RU2009944C1,RU2009944C1,current,similar-only,СУДНО Российский патент 1994 года по МПК B63B3/08,https://patenton.ru/patent/RU2009944C1,0,0.000127,0.0,1
RU2009949C1,RU2009949C1,current,similar-only,УСТРОЙСТВО ДЛЯ СБОРА НЕФТИ С ПОВЕРХНОСТИ ВОДЫ Российский патент 1994 года по МПК B63B35/32,https://patenton.ru/patent/RU2009949C1,538,0.000127,0.0,332
RU2010912C1,RU2010912C1,current,similar-only,СОРОРЫБОЗАЩИТНОЕ УСТРОЙСТВО Российский патент 1994 года по МПК E02B8/08 E02B9/04,https://patenton.ru/patent/RU2010912C1,538,0.000127,0.0,332
RU2010988C1,RU2010988C1,current,similar-only,УСТРОЙСТВО ДЛЯ УПРАВЛЕНИЯ ВСПОМОГАТЕЛЬНЫМ НАГРЕВАТЕЛЕМ ДЛЯ ДВИГАТЕЛЯ С ЖИДКОСТНЫМ ОХЛАЖДЕНИЕМ Российский патент 1994 года по МПК F02G5/00,https://patenton.ru/patent/RU2010988C1,87,0.000127,0.0,44
RU2011597C1,RU2011597C1,current,parsed,СУДНО С МАЛОЙ ПЛОЩАДЬЮ ВАТЕРЛИНИИ Российский патент 1994 года по МПК B63B1/14,https://patenton.ru/patent/RU2011597C1,0,0.000763,1e-06,1
RU2011604C1,RU2011604C1,current,similar-only,ПОДВЕСНОЙ ЛОДОЧНЫЙ МОТОР Российский патент 1994 года по МПК B63H21/26,https://patenton.ru/patent/RU2011604C1,496,0.000127,0.0,153
RU2013281C1,RU2013281C1,current,similar-only,МАЛОГАБАРИТНОЕ СУДНО Российский патент 1994 года по МПК B63B3/56,https://patenton.ru/patent/RU2013281C1,163,0.00089,0.002305,112
RU2013282C1,RU2013282C1,current,similar-only,ВИБРОИЗОЛИРУЮЩАЯ ПЛАТФОРМА СУДОВОГО МЕХАНИЗМА Российский патент 1994 года по МПК B63B3/70,https://patenton.ru/patent/RU2013282C1,163,0.000127,0.0,247
RU2013286C1,RU2013286C1,current,similar-only,СПОСОБ СБОРКИ КОРПУСА СУДНА Российский патент 1994 года по МПК B63B9/06,https://patenton.ru/patent/RU2013286C1,359,0.000127,0.0,489
RU2013287C1,RU2013287C1,current,similar-only,СУДОВОЕ ШВАРТОВНОЕ УСТРОЙСТВО Российский патент 1994 года по МПК B63B21/00,https://patenton.ru/patent/RU2013287C1,260,0.000254,0.0,162
RU2013288C1,RU2013288C1,current,similar-only,СУДОВОЙ ЯКОРЬ Российский патент 1994 года по МПК B63B21/36,https://patenton.ru/patent/RU2013288C1,664,0.000254,0.000127,582
RU2013290C1,RU2013290C1,current,similar-only,УСТРОЙСТВО ДЛЯ СПУСКА И ПОДЪЕМА ПЛАВАЮЩЕГО ОБЪЕКТА Российский патент 1994 года по МПК B63B23/04,https://patenton.ru/patent/RU2013290C1,620,0.001906,0.002246,104
RU2013291C1,RU2013291C1,current,similar-only,СУДОВОЕ СПУСКО-ПОДЪЕМНОЕ УСТРОЙСТВО ДЛЯ ПОДВОДНЫХ АППАРАТОВ Российский патент 1994 года по МПК B63B23/40,https://patenton.ru/patent/RU2013291C1,620,0.000381,7.4e-05,104
RU2020106C1,RU2020106C1,current,similar-only,ГЛИССИРУЮЩИЙ КОРПУС СУДНА Российский патент 1994 года по МПК B63B1/18,https://patenton.ru/patent/RU2020106C1,496,0.001271,0.000102,153
RU2025395C1,RU2025395C1,current,similar-only,АВТОНОМНЫЙ ВСПЛЫВАЮЩИЙ БУЙ Российский патент 1994 года по МПК B63B22/06,https://patenton.ru/patent/RU2025395C1,391,0.000127,0.0,182
RU2025406C1,RU2025406C1,current,similar-only,СУДОВОЙ ДВИГАТЕЛЬНО-ДВИЖИТЕЛЬНЫЙ КОМПЛЕКС Российский патент 1994 года по МПК B63H11/00 B63H11/02 B63H11/06,https://patenton.ru/patent/RU2025406C1,340,0.000254,0.0,426
RU2031051C1,RU2031051C1,current,similar-only,РОТОР ВОДОМЕТНОГО ДВИЖИТЕЛЯ Российский патент 1995 года по МПК B63H11/08 B63H11/103 B63H1/14,https://patenton.ru/patent/RU2031051C1,340,0.000127,0.0,426
RU2032257C1,RU2032257C1,current,similar-only,НАДУВНОЙ РАДИОЛОКАЦИОННЫЙ ОТРАЖАТЕЛЬ Российский патент 1995 года по МПК H01Q15/18,https://patenton.ru/patent/RU2032257C1,391,0.000127,0.0,489
RU2034736C1,RU2034736C1,current,similar-only,КОРПУС ГЛИССИРУЮЩЕГО СУДНА Российский патент 1995 года по МПК B63B1/18,https://patenton.ru/patent/RU2034736C1,496,0.000254,0.0,153
RU2034741C1,RU2034741C1,current,similar-only,СУДОВОЙ ВОЛНОВОЙ ДВИЖИТЕЛЬ Российский патент 1995 года по МПК B63H19/02,https://patenton.ru/patent/RU2034741C1,82,0.000127,0.0,157
RU2041116C1,RU2041116C1,current,similar-only,БЫСТРОХОДНОЕ СУДНО Российский патент 1995 года по МПК B63B1/38,https://patenton.ru/patent/RU2041116C1,496,0.000127,0.0,153
RU2041117C1,RU2041117C1,current,parsed,ЛОДКА Российский патент 1995 года по МПК B63B7/00,https://patenton.ru/patent/RU2041117C1,234,0.000763,0.000296,247
RU2044149C1,RU2044149C1,current,similar-only,СПОСОБ РАБОТЫ КОМБИНИРОВАННОГО ДВИГАТЕЛЯ ВНЕШНЕГО СГОРАНИЯ И ДВИГАТЕЛЛЬ ВНЕШНЕГО СГОРАНИЯ Российский патент 1995 года по МПК F02G1/02,https://patenton.ru/patent/RU2044149C1,72,0.000127,0.0,55
RU2044158C1,RU2044158C1,current,similar-only,СИЛОВАЯ ИНЕРЦИОННАЯ УСТАНОВКА ТРАНСПОРТНОГО СРЕДСТВА Российский патент 1995 года по МПК F03G3/00,https://patenton.ru/patent/RU2044158C1,192,0.000127,0.0,124
