Source,Target,Type,Id,Label,Weight,endorses_link_raw,endorses_message_id,endorses_discovered_at,endorses__new
1101,2102,Directed,2100,ENDORSES,3235,@Republic_Of_GaGauzia_MD,71800,2026-05-25T20:01:47.150417+00:00,true
1101,2103,Directed,2104,ENDORSES,5,@trueJPG,71519,2026-05-25T20:01:47.150417+00:00,true
1101,2104,Directed,2149,ENDORSES,87,@MoldovaAdevarata,71690,2026-05-25T20:01:47.150417+00:00,true
1101,2105,Directed,2297,ENDORSES,2,https://t.me/geonrgru,72877,2026-05-25T19:52:43.446554+00:00,true
1101,2106,Directed,2431,ENDORSES,9,@contractMObot,72732,2026-05-25T20:00:04.000389+00:00,true
1101,2107,Directed,2442,ENDORSES,2,@bpla_mo_bot,74628,2026-05-25T19:44:43.552707+00:00,true
1101,2108,Directed,2571,ENDORSES,4,https://t.me/Kharkov_Perviy,71038,2026-05-25T20:01:47.150417+00:00,true
1101,2109,Directed,2681,ENDORSES,3,@zuben_co,71579,2026-05-25T20:01:47.150417+00:00,true
1101,3110,Directed,3823,ENDORSES,6,@rusputnikmd_2,71659,2026-05-25T20:01:47.150417+00:00,true
1101,3111,Directed,3847,ENDORSES,1,@primulinmd,73928,2026-05-25T19:44:43.552707+00:00,true
1101,3112,Directed,4139,ENDORSES,2,@MirraChannel,74587,2026-05-25T19:44:43.552707+00:00,true
1101,3113,Directed,4140,ENDORSES,1,@MirraCoin_Wallet_bot,74369,2026-05-25T19:44:43.552707+00:00,true
1101,3114,Directed,4141,ENDORSES,1,@Mirracoin_help,74369,2026-05-25T19:44:43.552707+00:00,true
1101,4116,Directed,5459,ENDORSES,4,@bpla_vityaz_bot,71427,2026-05-25T20:01:47.150417+00:00,true
1101,4117,Directed,5554,ENDORSES,2,https://t.me/boost,73179,2026-05-25T19:52:43.446554+00:00,true
1101,4118,Directed,5637,ENDORSES,1,@Russia_MD,73114,2026-05-25T19:52:43.446554+00:00,true
1101,4119,Directed,5832,ENDORSES,1,t.me/L0HMATIY,73418,2026-05-25T19:52:43.446554+00:00,true
1101,4120,Directed,5833,ENDORSES,1,@Lebedev_771,73418,2026-05-25T19:52:43.446554+00:00,true
1101,4121,Directed,5973,ENDORSES,1,@ekipadobrovolec,73611,2026-05-25T19:52:43.446554+00:00,true
1101,4122,Directed,5974,ENDORSES,1,@Ekippa_bot,73611,2026-05-25T19:52:43.446554+00:00,true
1101,4123,Directed,5981,ENDORSES,1,https://t.me/mv6566,73624,2026-05-25T19:52:43.446554+00:00,true
1101,4124,Directed,5982,ENDORSES,1,@provodnikMV,73624,2026-05-25T19:52:43.446554+00:00,true
1101,5125,Directed,7127,ENDORSES,4,https://t.me/punktbalashiha,71103,2026-05-25T20:01:47.150417+00:00,true
1101,5126,Directed,7323,ENDORSES,1,@igordodon,72099,2026-05-25T20:00:04.000389+00:00,true
1101,5127,Directed,7364,ENDORSES,1,@durov,72161,2026-05-25T20:00:04.000389+00:00,true
1101,5128,Directed,7780,ENDORSES,1,@soldat_pobedi,72728,2026-05-25T20:00:04.000389+00:00,true
1101,6129,Directed,8842,ENDORSES,8,https://t.me/gagayzineodinoki,71365,2026-05-25T20:01:47.150417+00:00,true
1101,6130,Directed,8855,ENDORSES,2,https://t.me/veatchin,71383,2026-05-25T20:01:47.150417+00:00,true
1101,6131,Directed,8862,ENDORSES,2,@md_krot,71480,2026-05-25T20:01:47.150417+00:00,true
1101,6132,Directed,8873,ENDORSES,5,https://t.me/evrasianews,71350,2026-05-25T20:01:47.150417+00:00,true
1101,6133,Directed,8874,ENDORSES,1,@rybar,70851,2026-05-25T20:01:47.150417+00:00,true
1101,6134,Directed,8899,ENDORSES,1,https://t.me/KremlinPeresmeshnik,70880,2026-05-25T20:01:47.150417+00:00,true
1101,6135,Directed,9060,ENDORSES,1,https://t.me/mamadomik,71134,2026-05-25T20:01:47.150417+00:00,true
1101,6136,Directed,9068,ENDORSES,1,https://t.me/kgb_mssr,71148,2026-05-25T20:01:47.150417+00:00,true
1101,6137,Directed,9071,ENDORSES,2,@notes_veterans,71153,2026-05-25T20:01:47.150417+00:00,true
1101,6138,Directed,9158,ENDORSES,1,https://t.me/bloknotmd,71274,2026-05-25T20:01:47.150417+00:00,true
1101,6139,Directed,9194,ENDORSES,1,@GiveShareBot,71340,2026-05-25T20:01:47.150417+00:00,true
1101,6140,Directed,9362,ENDORSES,1,@p0vorot,71586,2026-05-25T20:01:47.150417+00:00,true
0,9141,Directed,12504,ENDORSES,1,https://t.me/findmemd_bot,88678,2026-05-25T20:45:20.720875+00:00,true
0,9142,Directed,12505,ENDORSES,1,@LuckyWin,89377,2026-05-25T20:45:20.720875+00:00,true
0,9143,Directed,12506,ENDORSES,1,@Sladkov_plus,90140,2026-05-25T20:45:20.720875+00:00,true
0,11144,Directed,14507,ENDORSES,1,@RegimDeIpocrizie_Bot,87972,2026-05-25T20:46:21.569719+00:00,true
0,13145,Directed,16508,ENDORSES,1,https://t.me/church_of_st_tatiana,84748,2026-05-25T20:48:23.673470+00:00,true
13146,14147,Directed,17509,ENDORSES,1,https://t.me/pandorapmr,102875,2026-05-25T21:32:14.642028+00:00,true
13146,14148,Directed,17510,ENDORSES,6,@gagauziarun,103817,2026-05-25T21:32:14.642028+00:00,true
13146,3111,Directed,17513,ENDORSES,2,@primulinmd,103481,2026-05-25T21:32:14.642028+00:00,true
13146,14149,Directed,17515,ENDORSES,2,https://t.me/almanah_md,103596,2026-05-25T21:32:14.642028+00:00,true
13146,14150,Directed,17518,ENDORSES,1,@yaremshooter,103586,2026-05-25T21:32:14.642028+00:00,true
14151,15152,Directed,18521,ENDORSES,9,@turan_express,29665,2026-05-25T21:33:43.302460+00:00,true
14151,15154,Directed,18525,ENDORSES,11,@wtfmoldova,29526,2026-05-25T21:33:43.302460+00:00,true
14151,15155,Directed,18527,ENDORSES,3,@krujka_md,29714,2026-05-25T21:33:43.302460+00:00,true
14151,15158,Directed,18531,ENDORSES,1,@eurasiamoldova,28898,2026-05-25T21:33:43.302460+00:00,true
14151,3111,Directed,18534,ENDORSES,12,@primulinm;@primulinmd,29136;29605,2026-05-25T21:33:43.302460+00:00,true
14151,15159,Directed,18538,ENDORSES,2,@enewsmd,29245,2026-05-25T21:33:43.302460+00:00,true
14151,15163,Directed,18554,ENDORSES,1,@poleanschi,29341,2026-05-25T21:33:43.302460+00:00,true
14151,15164,Directed,18560,ENDORSES,2,@otryadkovpaka,29416,2026-05-25T21:33:43.302460+00:00,true
14151,15166,Directed,18566,ENDORSES,3,@suvorovdnestr,29509,2026-05-25T21:33:43.302460+00:00,true
14151,15167,Directed,18569,ENDORSES,2,@sputniklive,29700,2026-05-25T21:33:43.302460+00:00,true
