Id,Label,labels,group_telegram_peer_id,group_telegram_url,group_id,group_title,group_last_message_fetch_at,group_username,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree
0,"""pridnestrovec""",[Group],1384825788,https://t.me/pridnestrovec,pridnestrovec,Приднестровец,2026-05-25T20:48:16.805027+00:00,pridnestrovec,1,0.013624,1,1,1,0,0,5,5,0,5,5
1101,"""Republic_Of_GaGauZia""",[Group],1316400649,https://t.me/Republic_Of_GaGauZia,Republic_Of_GaGauZia,Гагаузская Республика 🇲🇩🇷🇺,2026-05-25T20:01:41.570389+00:00,Republic_Of_GaGauZia,0,0.013624,1,1,1,0,0,38,38,0,3404,3404
2102,"""Republic_Of_GaGauzia_MD""",[Group],,https://t.me/Republic_Of_GaGauzia_MD,Republic_Of_GaGauzia_MD,,,,0,0.013929,0,0,0,0,1,0,1,3235,0,3235
2103,"""trueJPG""",[Group],,https://t.me/trueJPG,trueJPG,,,,0,0.013929,0,0,0,0,1,0,1,5,0,5
2104,"""MoldovaAdevarata""",[Group],,https://t.me/MoldovaAdevarata,MoldovaAdevarata,,,,0,0.013929,0,0,0,0,1,0,1,87,0,87
2105,"""geonrgru""",[Group],,https://t.me/geonrgru,geonrgru,,,,0,0.013929,0,0,0,0,1,0,1,2,0,2
2106,"""contractMObot""",[Group],,https://t.me/contractMObot,contractMObot,,,,0,0.013929,0,0,0,0,1,0,1,9,0,9
2107,"""bpla_mo_bot""",[Group],,https://t.me/bpla_mo_bot,bpla_mo_bot,,,,0,0.013929,0,0,0,0,1,0,1,2,0,2
2108,"""Kharkov_Perviy""",[Group],,https://t.me/Kharkov_Perviy,Kharkov_Perviy,,,,0,0.013929,0,0,0,0,1,0,1,4,0,4
2109,"""zuben_co""",[Group],,https://t.me/zuben_co,zuben_co,,,,0,0.013929,0,0,0,0,1,0,1,3,0,3
3110,"""rusputnikmd_2""",[Group],,https://t.me/rusputnikmd_2,rusputnikmd_2,,,,0,0.013929,0,0,0,0,1,0,1,6,0,6
3111,"""primulinmd""",[Group],,https://t.me/primulinmd,primulinmd,,,,2,0.016824,0,0,0,0,3,0,3,14,0,14
3112,"""MirraChannel""",[Group],,https://t.me/MirraChannel,MirraChannel,,,,0,0.013929,0,0,0,0,1,0,1,2,0,2
3113,"""MirraCoin_Wallet_bot""",[Group],,https://t.me/MirraCoin_Wallet_bot,MirraCoin_Wallet_bot,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
3114,"""Mirracoin_help""",[Group],,https://t.me/Mirracoin_help,Mirracoin_help,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
4116,"""bpla_vityaz_bot""",[Group],,https://t.me/bpla_vityaz_bot,bpla_vityaz_bot,,,,0,0.013929,0,0,0,0,1,0,1,4,0,4
4117,"""boost""",[Group],,https://t.me/boost,boost,,,,0,0.013929,0,0,0,0,1,0,1,2,0,2
4118,"""Russia_MD""",[Group],,https://t.me/Russia_MD,Russia_MD,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
4119,"""L0HMATIY""",[Group],,https://t.me/L0HMATIY,L0HMATIY,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
4120,"""Lebedev_771""",[Group],,https://t.me/Lebedev_771,Lebedev_771,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
4121,"""ekipadobrovolec""",[Group],,https://t.me/ekipadobrovolec,ekipadobrovolec,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
4122,"""Ekippa_bot""",[Group],,https://t.me/Ekippa_bot,Ekippa_bot,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
4123,"""mv6566""",[Group],,https://t.me/mv6566,mv6566,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
4124,"""provodnikMV""",[Group],,https://t.me/provodnikMV,provodnikMV,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
5125,"""punktbalashiha""",[Group],,https://t.me/punktbalashiha,punktbalashiha,,,,0,0.013929,0,0,0,0,1,0,1,4,0,4
5126,"""igordodon""",[Group],,https://t.me/igordodon,igordodon,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
5127,"""durov""",[Group],,https://t.me/durov,durov,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
5128,"""soldat_pobedi""",[Group],,https://t.me/soldat_pobedi,soldat_pobedi,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
6129,"""gagayzineodinoki""",[Group],,https://t.me/gagayzineodinoki,gagayzineodinoki,,,,0,0.013929,0,0,0,0,1,0,1,8,0,8
6130,"""veatchin""",[Group],,https://t.me/veatchin,veatchin,,,,0,0.013929,0,0,0,0,1,0,1,2,0,2
6131,"""md_krot""",[Group],,https://t.me/md_krot,md_krot,,,,0,0.013929,0,0,0,0,1,0,1,2,0,2
6132,"""evrasianews""",[Group],,https://t.me/evrasianews,evrasianews,,,,0,0.013929,0,0,0,0,1,0,1,5,0,5
6133,"""rybar""",[Group],,https://t.me/rybar,rybar,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
6134,"""KremlinPeresmeshnik""",[Group],,https://t.me/KremlinPeresmeshnik,KremlinPeresmeshnik,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
6135,"""mamadomik""",[Group],,https://t.me/mamadomik,mamadomik,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
6136,"""kgb_mssr""",[Group],,https://t.me/kgb_mssr,kgb_mssr,,,,0,0.013929,0,0,0,0,1,0,1,1,0,1
6137,"""notes_veterans""",[Group],,https://t.me/notes_veterans,notes_veterans,,,,0,0.013929,0,0,0,0,1,0,1,2,0,2
