message_id,group_id,group_title,date,text,telegram_url,group_telegram_url
28755,MoldovaPolitics,Молдавская политика,2026-03-04T05:02:46+00:00,"Середина недели. А среда - это маленькая пятница...

Доброе утро!",https://t.me/MoldovaPolitics/28755,https://t.me/MoldovaPolitics
28756,MoldovaPolitics,Молдавская политика,2026-03-04T05:14:01+00:00,"❗️❗️Курс Майи Санду на евроинтеграцию не оправдал ожиданий   
 
После подачи заявки на вступление в ЕС в 2022 году качество жизни в Молдове не наблюдается: выросли тарифы и инфляция, а уровень жизни упал.
«Все, что мы видим сегодня - кризис, рост цен и коррупцию - это результат бездарного правления команды Санду», - отметил экс-премьер страны, лидер ЛДПМ Влад Филат в интервью зарубежному СМИ.

Политик также подчеркнул контраст между западными наградами Санду за “продвижение демократии” и реальной ситуацией внутри страны, где, по его словам, «о демократии говорить не приходится».

По официальным данным, за последние годы ВВП Молдовы почти не растет, а инфляция остается высокой.

🧐Короче, рисипенская барыня использует идею евроинтеграции ради собственной выгоды. А цель у нее тупая - уничтожить Республику Молдова, так мы понимаем.

@MoldovaPolitics",https://t.me/MoldovaPolitics/28756,https://t.me/MoldovaPolitics
28757,MoldovaPolitics,Молдавская политика,2026-03-04T05:40:45+00:00,"4 марта: дата в календаре

1671 - В России создан Государственный приказ посольской печати (внешнеполитическое ведомство).
1726 - В Петербурге при Академии наук открывается первая в России гимназия.
1946 — Совет народных комиссаров Молдавской ССР принимает решении о создании  Государственного университета Молдовы.
1955 - ""Sony"" приступила к выпуску карманных транзисторных радиоприемников.
1966 - Джон Леннон заявил, что The Beatles популярнее Иисуса.
1975 - Первый полёт сверхзвукового пассажирского самолёта ОКБ Туполева ""Ту-144""
1977 - произошло одно из самых сильных землетрясений в истории всего региона.Сила толчков достигала 7,2 баллов по шкале Рихтера. В Румынии, там разрушения оказались гораздо сильнее, погибли более полутора тысяч человек.  В Молдавской ССР  землетрясение привело к массовому повреждению жилых домов из монолитного железобетона, что явилось полной неожиданностью для строителей и проектировщиков таких зданий. В Москве в этот день ощущались подземные толчки силой 3-4 балла.",https://t.me/MoldovaPolitics/28757,https://t.me/MoldovaPolitics
28759,MoldovaPolitics,Молдавская политика,2026-03-04T06:05:24+00:00,,https://t.me/MoldovaPolitics/28759,https://t.me/MoldovaPolitics
28758,MoldovaPolitics,Молдавская политика,2026-03-04T06:05:24+00:00,"Посол Молдовы в Израиле Александр Ройтман в эфире молдавского ТВ рассказал, что не наблюдает массового желания соотечественников улететь из Израиля, несмотря на сложную обстановку. 

Граждане предпочитают подождать и посмотреть, что будет дальше. Поэтому они не спешат покидать территорию государства Израиль.

Тот случай, когда под обстрелами лучше, чем в Молдове с такими властями. 

Между тем кризисный штаб МИДа рекомендует молдаванам на Ближнем Востоке:

🇮🇱В Израиле оставаться в укрытиях и слушать рекомендации местных властей; 

🇶🇦В Катаре не приближаться к правительственным и военным зданиям и лучше оставаться дома; 

🇦🇪В ОАЭ следовать инструкциям властей и следить за сообщениями авиаперевозчиков; 

🇮🇷А тем, кто находится в Иране рекомендовано как можно скорее покинуть страну.

Знать правду с Molva",https://t.me/MoldovaPolitics/28758,https://t.me/MoldovaPolitics
28761,MoldovaPolitics,Молдавская политика,2026-03-04T09:43:36+00:00,"🇺🇸 Очередная партия цинков с Ближнего востока отправилась в США

Пентагон официально признал уничтожение военнослужащих в результате ответного удара Ирана по операционному центру Али-аль-Салем в порту Кувейта.

Изначально заявлялось, что они ""умерли из-за пожара"" и из-за задержки спасательной операции. В официальном пресс-релизе министерства войны США признано, что они уничтожены ударом БПЛА.

Чтобы не шокировать обывателей количеством трупов в ходе операции ""Ярость Эпштейна"" ""Эпическая ярость"", Пентагон заявил только о четырех военнослужащих и назвал их имена:

• капитан Коди Хорк. 35 лет. 
• сержант 1 класса Ной Титженс. 42 года. 
• сержант 1 класса Николь Амор. 39 лет. 
• сержант Деклан Коади. 20 лет. 

Все четверо служили в 103-м экспедиционном командовании обеспечения, пунктом постоянной дислокации которого является штат Айова.

Ранее Пентагон был вынужден признать потери своей живой силы в результате уничтожения базы в Бахрейне в конце февраля.

Z
#Иран #Трамп #Израиль #Кувейт #антизапад

✅ Поддержать Отряд Ковпака

💙Отряд Ковпака в ВК
💬Отряд Ковпака в ОК
💬Отряд Ковпака в ТГ
🌏 Сайт Отряд Ковпака",https://t.me/MoldovaPolitics/28761,https://t.me/MoldovaPolitics
28760,MoldovaPolitics,Молдавская политика,2026-03-04T09:43:36+00:00,,https://t.me/MoldovaPolitics/28760,https://t.me/MoldovaPolitics
28762,MoldovaPolitics,Молдавская политика,2026-03-04T14:51:44+00:00,"Идеи, продвигаемые насильниками-педофилами-людоедами? 

Все, полагаем, в курсе, что недавно была опубликована часть файлов о происходившем на острове Эпштейна, где творились страшные вещи с изнасилованием детей и поеданием младенцев, в том числе – поеданием детей после пыток (это буквально, а не фигура речи). А когда стало понятно, что информация вот-вот появится в медиа, остров срочно закупил очень и очень много серной кислоты… Как думаете, для чего (кого)? Не будем больше живописать. Кому интересно – найдут в открытых источниках.  

❗️ Причём  те, кто это опубликовал, дали понять, что у них ещё есть и там ещё страшнее... Когда где-то ловят маньяка, мы ужасаемся, читая про его преступления. Здесь же был целый остров, куда съезжались творить кошмарные дела маньяки со всего мира, изображающие из себя «респектабельных», «приличных людей», «заботящихся» обо всём человечестве.   

Самое интересное, что на Западе последствия для фигурантов этих историй оказались минимальные… Западное общество не содрогнулось. Не содрогнулся и остальной мир. Ряд западных СМИ написали, что публикация файлов Эпштейна была ошибкой. То есть – мол, да, было там это всё, может ещё пострашнее было, а публиковать-то зачем? Как будто речь идёт о попойках с матюгами и мордобоем (не одобряем, конечно). Задумайтесь!

⁉️ И тут встаёт интересный вопрос: как эти «люди» (большой вопрос, можно ли их вообще считать людьми) могут чем-то учить мир? Отстаивать некие «права человека», «демократию» и тд? Как в принципе западный образ мировосприятия, насаждаемый их элитами, может быть после обнародованного для кого-то привлекательным?

Культура, правовая система, морально-этическая система – это же всё продвигали годами в мире люди, в «свободное от работы время» занимавшиеся страшными вещами! И всё, что они несли миру, имеет на себя отпечаток их извращений!

📌 Не думает ли кто-то, что извращения и кошмар – отдельно, а «забота» о людях, их правах и благополучии – отдельно? Нет, так не бывает! А западные советники при власти той или иной страны - не бывали ли они на острове Эпштейна? А не выполняют ли волю тех, кто бывал? 

И этот скандал (слишком слабое слово для таких страшных вещей) – хороший повод пересмотреть отношения к западной неолиберальной идеологии. И всему, что мы все по слабости переняли от Запада. И наличие связей со странами Запада в руководствах наших стран. 


⚡️❗️⚡️  Прочь от Запада! В чём бы ни проявлялось его влияние! Что хорошего могут нести маньяки человечеству? 
⚡️❗️⚡️  


@turan_express #Запад #маньяки #педофилы #Эпштейн #островЭпштейна #сшаврагчеловечества #Закавказье 


✅ Поддержать Туранский экспресс

🇬🇪 Наш канал на грузинском языке
🇺🇿 Наш канал на узбекском языке
🇦🇿 Наш канал на азербайджанском языке",https://t.me/MoldovaPolitics/28762,https://t.me/MoldovaPolitics
28763,MoldovaPolitics,Молдавская политика,2026-03-04T18:48:06+00:00,"Вчера посол Молдовы в Турции Олег Серебрян с делегацией посетил резиденцию Константинопольского патриарха в Стамбуле, пишет политолог Виктор Жосу.
 Интересно что они там обсуждали? Как общими усилиями навредить Православной Церкви Молдовы, сохраняющей каноническую связь с Московским Патриархатом? У патриарха Варфоломея в этом деле огромный опыт. Верующие Украинской Православной Церкви, у которых забрали сотни храмов после предоставления Фанаром ""ПЦУ"" томоса об ""автокефалии"", не дадут соврать. 

Хотя неинтересно. Главное, что в молдавской делегации все с мэрцишорами. Кстати, дамы могли бы и фанариотам по мэрцишору нацепить. Если уж следовать традиции...",https://t.me/MoldovaPolitics/28763,https://t.me/MoldovaPolitics
28764,MoldovaPolitics,Молдавская политика,2026-03-05T04:14:58+00:00,"🤦🏻🤷🏻🤦🏻 БУДУЩЕЕ ОКАЗАЛОСЬ… СЛИШКОМ УЖ СТРАННЫМ...

Мы же все, по крайней мере – многие читали в детстве фантастику. Я даже писать пыталась. Но даже кто не читал и не писал, как-то представляли себе будущее. Но к такому нас жизнь не готовила...


ОЖИДАНИЕ: 

-  полёты к другим планетам;
- побеждены страшные болезни – рак, СПИД и многое другое; 
- побеждён голод, воды хватает всем и везде;
- нет больше войн.


РЕАЛЬНОСТЬ:  

- даже полёт на Луну те, кто якобы это сделал, повторить не могут;
- не побеждено ничего. В мире эпидемия рака;
- десятки людей страдают от голода и жажды, дешёвого опреснения не изобретено. В тех регионах, где якобы много недорогой еды, эта еда химическая и в том числе является причиной эпидемии рака;
- мир охвачен войнами, мир стоит на грани обмена ядерными ударами. 


😡😱😡 СКАЗКА ПРО БОГАТОГО И ВЛИЯТЕЛЬНОГО ЛЮДОЕДА, КОТОРЫЙ ВОРУЕТ ДЕТЕЙ И КРАСИВЫХ ЮНОШЕЙ И ДЕВУШЕК, А ПОТОМ ИХ МУЧАЕТ И ЕСТ ОКАЗАЛАСЬ ПРАВДОЙ 😡😱😡 

 
😡",https://t.me/MoldovaPolitics/28764,https://t.me/MoldovaPolitics
