account_age_days,followers,following,posts_per_day,duplicate_ratio,is_bot
995,1602,488,4.98,0.3412,0
1573,2312,585,0.48,0.1374,0
5,113,2550,30.59,0.8202,1
1012,2097,178,3.58,0.1066,0
819,1726,386,2.32,0.2338,0
3,36,3512,19.19,0.7355,1
81,46,1810,16.05,0.6594,1
819,553,173,5.08,0.094,0
59,22,4941,18.32,0.8292,1
820,1687,918,2.05,0.1509,0
716,2374,826,2.75,0.1372,0
2,7,1714,12.08,0.7888,1
71,230,1493,8.9,0.8486,1
304,2404,678,2.97,0.1805,0
1162,683,334,1.99,0.1194,0
718,1841,192,4.27,0.3155,0
669,4268,856,0.32,0.21,0
55,17,1670,28.46,0.744,1
885,1561,139,4.88,0.4044,0
2111,2259,940,7.15,0.1141,0
108,68,4524,35.4,0.8353,1
1226,398,567,1.69,0.3856,0
1199,1690,679,3.0,0.1911,0
1489,1834,474,6.05,0.101,0
25,64,2696,43.16,0.7383,1
572,2838,92,2.54,0.1468,0
54,60,4549,33.82,0.4524,1
138,155,2773,23.33,0.8964,1
13,35,4738,37.65,0.4823,1
591,482,792,0.45,0.2374,0
60,145,1210,14.88,0.8936,1
478,1372,598,2.55,0.2993,0
21,67,3589,38.39,0.4668,1
664,3610,175,2.4,0.0412,0
801,1105,925,3.11,0.1241,0
780,1910,591,1.63,0.1239,0
1291,1806,390,5.26,0.2361,0
44,107,2897,29.79,0.9536,1
744,1470,380,4.13,0.0665,0
814,1636,71,0.95,0.066,0
79,30,2013,29.33,0.7698,1
549,892,984,0.77,0.2527,0
1869,646,772,0.55,0.0307,0
621,1862,851,1.17,0.0484,0
914,3974,922,0.99,0.0184,0
1200,918,360,8.11,0.0908,0
852,2499,880,3.45,0.0747,0
1449,1461,772,1.28,0.4323,0
428,2781,498,0.99,0.1446,0
20,2,4427,19.07,0.7692,1
11,1,4960,17.2,0.5938,1
29,12,3788,42.95,0.8379,1
2227,774,628,0.82,0.1881,0
751,1634,145,4.35,0.005,0
646,1099,767,0.41,0.0567,0
795,1177,424,0.82,0.1137,0
55,70,4061,34.03,0.9133,1
1424,1029,823,4.17,0.1777,0
451,3506,619,2.08,0.1022,0
1145,1739,193,0.51,0.0417,0
833,1542,130,0.25,0.1308,0
24,111,1516,11.12,0.5905,1
