word_count,num_links,num_exclam,share_count,is_clickbait
833,3,2,71.0,0
362,10,5,32.0,0
452,3,5,420.0,1
999,13,2,88.0,0
122,1,7,769.0,1
1378,9,0,114.0,0
1442,11,1,37.0,0
1288,13,2,18.0,0
940,14,0,54.0,0
928,4,1,162.0,0
107,1,7,847.0,1
82,0,4,400.0,1
1413,11,0,138.0,0
299,1,4,797.0,1
353,2,7,506.0,1
619,13,1,28.0,0
495,2,1,31.0,0
162,0,4,572.0,1
415,9,0,21.0,0
1067,3,2,22.0,0
215,1,6,197.0,1
882,1,1,151.0,0
1251,7,0,51.0,0
1278,12,2,58.0,0
1121,12,1,75.0,0
1391,11,0,101.0,0
1348,9,0,32.0,0
105,0,8,637.0,1
1391,10,0,117.0,0
735,11,1,82.0,0
386,0,4,433.0,1
474,12,0,49.0,0
93,2,3,769.0,1
176,3,5,663.0,1
1441,12,0,119.0,0
793,8,1,60.0,0
1488,9,2,63.0,0
480,1,0,290.0,0
1420,2,2,6.0,0
465,4,0,186.0,0
219,1,8,211.0,1
949,9,1,75.0,0
447,0,7,409.0,1
917,6,1,56.0,0
899,9,1,65.0,0
594,5,1,3.0,0
1353,10,1,57.0,0
1376,12,0,136.0,0
1054,3,2,159.0,0
939,4,1,15.0,0
343,3,7,252.0,1
983,12,3,107.0,0
404,13,1,191.0,0
343,0,13,473.0,1
413,1,8,438.0,1
314,2,9,714.0,1
827,9,0,33.0,0
314,13,2,34.0,0
382,14,2,198.0,0
240,2,4,306.0,1
733,12,1,35.0,0
1464,1,1,17.0,0
140,0,10,246.0,1
1442,3,0,21.0,0
873,11,1,26.0,0
558,7,3,32.0,0
709,5,0,216.0,0
351,1,4,678.0,1
99,1,2,662.0,1
426,2,6,459.0,1
1055,11,0,51.0,0
755,10,1,64.0,0
1172,8,0,87.0,0
781,7,1,26.0,0
464,4,2,110.0,0
372,10,3,85.0,0
282,1,5,1046.0,1
1106,13,1,41.0,0
1191,11,1,75.0,0
113,0,6,368.0,1
427,1,1,41.0,0
749,2,1,193.0,0
350,2,2,56.0,0
957,10,1,102.0,0
145,3,3,276.0,1
236,1,4,569.0,1
872,9,0,133.0,0
306,5,1,39.0,0
687,9,2,85.0,0
770,1,0,59.0,0
1035,13,1,60.0,0
916,2,0,77.0,0
558,11,0,78.0,0
174,3,1,363.0,1
886,7,0,5.0,0
485,4,0,29.0,0
962,13,0,46.0,0
1191,2,2,135.0,0
621,3,2,76.0,0
437,1,10,576.0,1
469,10,1,36.0,0
1437,10,1,33.0,0
828,12,3,33.0,0
146,3,5,319.0,1
755,14,0,29.0,0
669,12,1,114.0,0
859,11,2,25.0,0
328,1,7,271.0,1
